title,built_date,bedrooms,district,unit_price,transaction_date,位置,经纬度
丽都华庭,2014,l2,pudong,25719,2021.11.05,上海市浦东新区丽都华庭,"121.824844,30.898340"
丽都华庭,2014,l3,pudong,25435,2020.06.25,上海市浦东新区丽都华庭,"121.824844,30.898340"
碧云青年汇(二期),2007,l1,pudong,22467,2019.07.02,上海市浦东新区碧云青年汇,"121.600960,31.252356"
宜浩佳园,2009,l1,pudong,22634,2019.06.22,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,24471,2019.02.24,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,24326,2018.12.06,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,24975,2018.11.21,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,34832,2021.10.24,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,32060,2021.10.21,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,33237,2021.10.11,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,34431,2021.09.04,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,36213,2021.08.05,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,38524,2021.08.04,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,37822,2021.06.03,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,37204,2021.01.31,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,36364,2021.01.21,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,35133,2021.01.09,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,34206,2021.01.08,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,34474,2021.01.07,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,33630,2021.01.02,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,33027,2020.12.28,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,33312,2020.12.06,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,33325,2020.11.21,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l2,pudong,32694,2021.10.24,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l2,pudong,33511,2021.10.10,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l2,pudong,24375,2019.06.12,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,39758,2021.06.21,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l1,pudong,40630,2021.05.10,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l2,pudong,28075,2020.11.08,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l2,pudong,32407,2020.10.22,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l2,pudong,29729,2020.05.31,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l2,pudong,37849,2021.06.27,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l2,pudong,38361,2021.03.13,上海市浦东新区宜浩佳园,"121.882065,30.888676"
宜浩佳园,2009,l3,pudong,36833,2021.08.10,上海市浦东新区宜浩佳园,"121.882065,30.888676"
云帆雅苑,2007,l1,pudong,20642,2017.11.15,上海市浦东新区云帆雅苑,"121.814583,30.897663"
