title,build_time,price,unit_price,transaction_date,district,bedrooms
丽泽荷亭苑 2室1厅 80.6平米,中楼层(共5层) 2009年建板楼,170,21005,2021.09.20,pudong,l2
荷风翠庭 2室2厅 81.1平米,高楼层(共6层) 2009年建板楼,182,22380,2021.09.15,pudong,l2
新舒苑 2室2厅 81.45平米,低楼层(共6层) 2006年建板楼,183,22468,2021.09.08,pudong,l2
清风雅苑 2室2厅 81.63平米,低楼层(共6层) 2009年建板楼,155,18989,2021.09.03,pudong,l2
云树欣居 2室2厅 82.6平米,低楼层(共10层) 2008年建板楼,166,20097,2021.08.07,pudong,l2
新舒苑 2室1厅 81.41平米,高楼层(共6层) 2007年建板楼,178,21865,2021.08.02,pudong,l2
云帆佳苑 2室2厅 83.23平米,高楼层(共6层) 2007年建板楼,180,21603,2021.07.23,pudong,l2
云松翠庭 2室2厅 81.74平米,高楼层(共6层) 2008年建板楼,186,22756,2021.07.19,pudong,l2
新舒苑 2室2厅 81.48平米,高楼层(共6层) 2006年建板楼,172,21110,2021.07.17,pudong,l2
丽泽兰馨苑 2室1厅 80.08平米,中楼层(共5层) 2008年建板楼,176,21979,2021.07.10,pudong,l2
荷风景庭 2室2厅 81.1平米,高楼层(共6层) 2009年建板楼,188,23182,2021.07.10,pudong,l2
云树仁居 2室2厅 81.3平米,低楼层(共6层) 2008年建板楼,184,22633,2021.06.21,pudong,l2
汇民锦苑 3室1厅 86.39平米,低楼层(共16层) 2016年建板楼,180,20778,2021.10.13,pudong,l3
惠东路300弄 3室1厅 81.35平米,高楼层(共5层) 1996年建板楼,179,21967,2021.04.05,pudong,l3
听潮四村 3室2厅 82.33平米,高楼层(共6层) 1994年建板楼,194,23552,2021.02.28,pudong,l3
海燕二村 3室1厅 82.37平米,高楼层(共6层) 1994年建板楼,187,22703,2021.02.25,pudong,l3
绿缘新村 3室1厅 84.05平米,高楼层(共6层) 1995年建板楼,172,20441,2021.01.09,pudong,l3
绿缘新村 3室2厅 82平米,高楼层(共6层) 1995年建板楼,186,22683,2021.01.03,pudong,l3
运通路728弄 3室1厅 73.31平米,高楼层(共6层) 1993年建板楼,199,27146,2021.01.01,pudong,l3
听潮二村 3室1厅 83.8平米,中楼层(共6层) 1992年建板楼,184,21934,2020.12.28,pudong,l3
丽泽梅傲苑 3室1厅 80.3平米,高楼层(共6层) 2011年建板楼,168,20922,2020.12.17,pudong,l3
云帆佳苑 3室2厅 83.67平米,高楼层(共6层) 2007年建板楼,152,18167,2020.11.16,pudong,l3
听潮二村 3室2厅 79.94平米,中楼层(共5层) 1993年建板楼,192,24019,2020.11.14,pudong,l3
德盈佳园 3室2厅 82.77平米,高楼层(共6层) 2008年建板楼,195,23536,2020.09.01,pudong,l3
蓝色城邦(公寓) 3室1厅 87.57平米,低楼层(共13层) 2010年建板楼,186,21184,2020.06.25,pudong,l3
临港海滨国际花园 3室2厅 87.38平米,低楼层(共13层) 2011年建板楼,189,21630,2020.06.23,pudong,l3
听潮二村 3室1厅 81.46平米,低楼层(共5层) 1993年建板楼,185,22711,2020.05.30,pudong,l3
惠康苑 3室1厅 78.77平米,高楼层(共18层) 2014年建板楼,192,24375,2020.04.27,pudong,l3
凯德新视界(一期) 3室1厅 87平米,低楼层(共18层) 2015年建板楼,174,20000,2020.04.22,pudong,l3
丽泽荷亭苑 3室2厅 82平米,高楼层(共6层) 2009年建板楼,162,19732,2020.03.10,pudong,l3
乾耀东港 3室2厅 89平米,低楼层(共11层) 2013年建板楼,197,22079,2020.03.08,pudong,l3
惠康苑 3室1厅 79平米,高楼层(共18层) 2014年建板楼,180,22785,2020.03.02,pudong,l3
惠康苑 3室1厅 78.53平米,高楼层(共18层) 2014年建板楼,192,24386,2019.11.11,pudong,l3
欣欣苑小区 3室1厅 82.96平米,高楼层(共6层) 1994年建板楼,175,21095,2019.11.09,pudong,l3
公益路东苑 3室1厅 83平米,中楼层(共5层) 1995年建板楼,175,21037,2019.10.12,pudong,l3
听潮二村 3室1厅 81.24平米,中楼层(共5层) 1993年建板楼,177,21788,2019.09.15,pudong,l3
南粮新村 3室1厅 74平米,高楼层(共6层) 1994年建板楼,170,22906,2019.07.20,pudong,l3
乾耀东港 3室2厅 89.99平米,低楼层(共11层) 2013年建板楼,164,18225,2019.07.11,pudong,l3
乾耀东港 3室2厅 88.42平米,中楼层(共13层) 2013年建板楼,178,20075,2019.06.29,pudong,l3
丽泽梅傲苑 4室2厅 81平米,高楼层(共6层) 2011年建板楼,188,23210,2017.03.04,pudong,l4
宁怡苑 4室2厅 74.04平米,高楼层(共6层) 2006年建板楼,192,25932,2016.02.01,pudong,l4
龙源星城 1室1厅 108.51平米,低楼层(共5层) 2001年建板楼,100,9216,2016.08.28,pudong,l1
云锦名苑 1室0厅 104.05平米,高楼层(共6层) 2006年建板楼,120,11514,2016.07.19,pudong,l1
丽泽兰馨苑 1室0厅 101.67平米,低楼层(共6层) 2008年建板楼,93,9079,2016.05.28,pudong,l1
万达广场(周浦) 2房间1卫 107平米,中楼层(共29层) 2009年建塔楼,190,17758,2016.01.06,pudong,l1
三墩花苑 2室2厅 99.18平米,中楼层(共5层) 2000年建板楼,156,15729,2021.10.25,pudong,l2
泥城苑 2室2厅 95.26平米,低楼层(共12层) 2013年建板楼,185,19400,2021.10.18,pudong,l2
泥城苑 2室2厅 91.47平米,低楼层(共6层) 2011年建板楼,190,20772,2021.09.20,pudong,l2
泥城苑 2室1厅 91.56平米,高楼层(共6层) 2011年建板楼,192,20916,2021.06.16,pudong,l2
禹洲商业广场 3房间1卫 91平米,高楼层(共17层) 2015年建塔楼,153,16814,2021.05.29,pudong,l2
泥城苑 2室2厅 95.03平米,低楼层(共11层) 2011年建板楼,171,17921,2021.03.27,pudong,l2
泥城苑 2室2厅 91.47平米,低楼层(共6层) 2011年建板楼,175,19132,2021.03.18,pudong,l2
泥城苑 2室1厅 92.21平米,低楼层(共12层) 2013年建板楼,175,18979,2021.03.13,pudong,l2
泥城苑 2室2厅 91.56平米,高楼层(共6层) 2011年建板楼,180,19660,2021.03.07,pudong,l2
德盈佳园 2室2厅 91.07平米,中楼层(共11层) 2008年建板楼,196,21500,2021.03.03,pudong,l2
丽泽菊清苑 2室2厅 90平米,低楼层(共12层) 2010年建板楼,163,18112,2021.02.21,pudong,l2
泥城苑 2室2厅 94.65平米,高楼层(共11层) 2013年建板楼,188,19863,2021.02.19,pudong,l2
欣松苑 2室2厅 93.97平米,低楼层(共6层) 2007年建板楼,182,19368,2021.02.19,pudong,l2
欣梅苑 2室2厅 92.52平米,中楼层(共5层) 2007年建板楼,188,20299,2021.02.18,pudong,l2
泥城苑 2室1厅 90.41平米,高楼层(共6层) 2011年建板楼,177,19534,2021.02.06,pudong,l2
泥城苑 2室2厅 95.03平米,低楼层(共11层) 2011年建板楼,174,18311,2021.02.02,pudong,l2
海燕大厦 2室2厅 96.95平米,中楼层(共7层) 1997年建平房,182,18773,2021.01.31,pudong,l2
永达城市公寓 2室2厅 95.71平米,中楼层(共11层) 2008年建板楼,100,10449,2021.01.26,pudong,l2
丽泽荷亭苑 2室2厅 104.75平米,高楼层(共6层) 2009年建板楼,183,17471,2021.01.24,pudong,l2
泥城苑 2室2厅 94.65平米,中楼层(共11层) 2013年建板楼,182,19229,2021.01.20,pudong,l2
泥城苑 2室1厅 91.56平米,高楼层(共6层) 2011年建板楼,171,18622,2021.01.16,pudong,l2
德盈佳园 2室1厅 92.06平米,中楼层(共11层) 2008年建板楼,187,20313,2021.01.10,pudong,l2
泥城苑 2室2厅 95.03平米,中楼层(共11层) 2011年建板楼,173,18205,2021.01.10,pudong,l2
欣兰苑 2室2厅 94平米,高楼层(共6层) 2007年建板楼,197,20958,2020.12.27,pudong,l2
泥城苑 2室2厅 91.56平米,高楼层(共6层) 2011年建板楼,190,20697,2020.12.26,pudong,l2
德盈佳园 2室2厅 91.07平米,中楼层(共11层) 2008年建板楼,198,21742,2020.12.14,pudong,l2
丽泽荷亭苑 2室2厅 104.75平米,高楼层(共6层) 2009年建板楼,188,17948,2020.12.10,pudong,l2
欣松苑 2室2厅 94.16平米,中楼层(共6层) 2007年建板楼,191,20285,2020.12.07,pudong,l2
